model_name,model_group,preprocess_mode,auc,top1_hit_rate,top3_hit_rate,top5_hit_rate,top1_future_return,top3_future_return,top5_future_return,top_bin_actual_up_rate,top_bin_avg_future_ret
xgboost,tree,zscore,0.52070918,0.412172105,0.408987975,0.408049406,0.011144726,0.008168039,0.00749108,0.436733452,0.011816452
xgboost,tree,raw,0.558184803,0.424371991,0.419781869,0.417133107,0.011079735,0.008483564,0.007415803,0.531789713,0.01908195
lightgbm,tree,raw,0.557026271,0.423934938,0.4186982,0.417619614,0.01064506,0.007906538,0.007384529,0.530280243,0.01930112
lightgbm_shallow,tree,zscore,0.516744963,0.415606344,0.408186315,0.407873967,0.010925246,0.007736863,0.007320394,0.42467539,0.009704474
lightgbm,tree,zscore,0.523299893,0.411986071,0.409568023,0.407497075,0.010803561,0.007804514,0.007151895,0.441226393,0.012732114
catboost,tree,zscore,0.516543817,0.412435905,0.407194878,0.405914567,0.010028534,0.007730067,0.00706637,0.426852588,0.009962967
lightgbm_shallow,tree,raw,0.55517463,0.418554864,0.414363391,0.413513686,0.009988392,0.007517537,0.007058856,0.528912332,0.018351251
lightgbm_conservative,tree,raw,0.557010351,0.421685357,0.418079375,0.414998382,0.010250122,0.007877733,0.006995287,0.530090454,0.018764567
lightgbm_conservative,tree,zscore,0.52249637,0.409957948,0.409768506,0.407486503,0.010100483,0.007650523,0.006932567,0.437083271,0.011938665
mlp,scale_sensitive,raw,0.542663977,0.41839933,0.414420698,0.414652136,0.00842409,0.00726732,0.006877839,0.511283473,0.018801149
mlp,scale_sensitive,zscore,0.536040119,0.408282694,0.407280471,0.40849899,0.008801868,0.006997369,0.006690918,0.488211618,0.017906847
catboost,tree,raw,0.555760831,0.416930489,0.414111442,0.41262277,0.008456124,0.006948301,0.006619541,0.532550545,0.018626903
mlp,scale_sensitive,standard,0.544645009,0.417749307,0.413840432,0.411725322,0.007624358,0.006651191,0.006187806,0.513639717,0.018099769
random_forest,scale_sensitive,raw,0.548583374,0.413428859,0.410205596,0.410711279,0.006284502,0.006112187,0.005974804,0.509181474,0.015411867
logistic,scale_sensitive,zscore,0.511754597,0.394807665,0.398274607,0.400534763,0.004907701,0.004783271,0.004934973,0.416417793,0.006932508
logistic,scale_sensitive,raw,0.520950714,0.394728617,0.39352567,0.393233315,0.004292023,0.004111386,0.003973817,0.489221437,0.012649709
logistic,scale_sensitive,standard,0.520979234,0.397135807,0.393021155,0.392650016,0.004681142,0.003880153,0.003835785,0.491620652,0.012876007
