,mean_abs_shap
bias_60,0.07509406
board_rs_20d,0.069659695
roc_20,0.048883293
board_rank_20d_pct,0.04007066
ema30_slope,0.036400396
ret_1d,0.03532392
ret_1d_minus_5d,0.034402687
ema60_slope,0.032841578
momentum_change,0.031582884
ma60_slope,0.028141351
bias_60_vr,0.02622393
ret_10d,0.025559284
ret_1d_minus_3d,0.025390275
ret_3d,0.024207925
ma30_slope,0.018917738
ema90_slope,0.015019644
ma180_slope,0.013578375
ema30_slope_vr,0.012981708
ema180_slope,0.012070179
ret_3d_minus_10d,0.011916006
ret_5d,0.007854422
