year,feature,mean_abs_shap
2023,bias_60,0.07078625
2023,board_rs_20d,0.061892632
2023,roc_20,0.039241772
2023,board_rank_20d_pct,0.039178886
2023,ret_1d,0.03380906
2023,ema30_slope,0.032245323
2023,ret_1d_minus_5d,0.031499557
2023,momentum_change,0.030042386
2023,ema60_slope,0.029522775
2023,ma60_slope,0.02653971
2023,ret_10d,0.024293436
2023,ret_1d_minus_3d,0.024119794
2023,bias_60_vr,0.023880443
2023,ret_3d,0.022228777
2023,ma30_slope,0.017619692
2023,ema90_slope,0.012999577
2023,ret_3d_minus_10d,0.011507174
2023,ema180_slope,0.011346734
2023,ma180_slope,0.010442582
2023,ema30_slope_vr,0.01020457
2023,ret_5d,0.006295778
2024,bias_60,0.085503966
2024,board_rs_20d,0.07924724
2024,roc_20,0.062278174
2024,board_rank_20d_pct,0.044707138
2024,ema30_slope,0.04283591
2024,ema60_slope,0.03973043
2024,ret_1d_minus_5d,0.039723523
2024,ret_1d,0.037325915
2024,momentum_change,0.034549966
2024,bias_60_vr,0.033046402
2024,ma60_slope,0.031776268
2024,ret_10d,0.028224029
2024,ret_1d_minus_3d,0.026908178
2024,ret_3d,0.026472049
2024,ma30_slope,0.02152513
2024,ema90_slope,0.01861092
2024,ma180_slope,0.017010422
2024,ema30_slope_vr,0.015962943
2024,ema180_slope,0.013625649
2024,ret_3d_minus_10d,0.013371668
2024,ret_5d,0.009989396
2025,board_rs_20d,0.07072679
2025,bias_60,0.068415046
2025,roc_20,0.044938948
2025,board_rank_20d_pct,0.035724804
2025,ema30_slope,0.03396862
2025,ret_1d,0.033723004
2025,ret_1d_minus_5d,0.03164472
2025,momentum_change,0.030704288
2025,ema60_slope,0.028175281
2025,ma60_slope,0.025836166
2025,ret_1d_minus_3d,0.024568152
2025,ret_3d,0.024158286
2025,ret_10d,0.023269128
2025,bias_60_vr,0.021489426
2025,ma30_slope,0.01767623
2025,ma180_slope,0.013019449
2025,ema90_slope,0.012871695
2025,ema30_slope_vr,0.011580098
2025,ema180_slope,0.011410508
2025,ret_3d_minus_10d,0.010992822
2025,ret_5d,0.0070215836
2026,board_rs_20d,0.06373379
2026,bias_60,0.05408291
2026,roc_20,0.04804976
2026,board_rank_20d_pct,0.039924283
2026,ret_1d,0.03178804
2026,momentum_change,0.031224808
2026,ema30_slope,0.028806537
2026,ret_1d_minus_5d,0.026334118
2026,ma60_slope,0.02615324
2026,ema60_slope,0.025576849
2026,ret_1d_minus_3d,0.02265382
2026,ret_3d,0.02068903
2026,ma180_slope,0.019150198
2026,ma30_slope,0.017293384
2026,ret_10d,0.016946152
2026,ema30_slope_vr,0.016724106
2026,bias_60_vr,0.016323425
2026,ema90_slope,0.011640217
2026,ema180_slope,0.010127888
2026,ret_3d_minus_10d,0.009231237
2026,ret_5d,0.006254912
